date,open,low,high,close,volume,changeClosePercent
2025-11-07 15:59:00,1.5,1.5,1.51,1.51,1116852,0.6666666666666599
2025-11-07 15:58:00,1.51,1.5,1.51,1.5,798477,0.0
2025-11-07 15:57:00,1.5,1.5,1.5,1.5,2029992,0.0
2025-11-07 15:56:00,1.49,1.49,1.5,1.5,40264,0.6711409395973256
2025-11-07 15:55:00,1.49,1.48,1.49,1.49,29564290,0.0
2025-11-07 15:54:00,1.49,1.48,1.49,1.49,419998,0.0
2025-11-07 15:53:00,1.49,1.49,1.49,1.49,179792,0.0
2025-11-07 15:52:00,1.49,1.49,1.49,1.49,207411,0.0
2025-11-07 15:51:00,1.49,1.49,1.49,1.49,751482,0.0
2025-11-07 15:50:00,1.49,1.48,1.49,1.49,143325,0.6756756756756799
2025-11-07 15:49:00,1.48,1.48,1.49,1.48,111293,0.0
2025-11-07 15:48:00,1.48,1.48,1.48,1.48,131410,0.0
2025-11-07 15:47:00,1.49,1.48,1.49,1.48,139585,0.0
2025-11-07 15:46:00,1.48,1.48,1.49,1.48,269675,-0.6711409395973145
2025-11-07 15:45:00,1.49,1.49,1.49,1.49,280192,0.0
2025-11-07 15:44:00,1.47,1.47,1.49,1.49,1385662,1.3605442176870763
2025-11-07 15:43:00,1.47,1.47,1.48,1.47,167831,0.0
2025-11-07 15:42:00,1.47,1.47,1.48,1.47,109228,0.0
2025-11-07 15:41:00,1.47,1.47,1.47,1.47,265007,0.0
2025-11-07 15:40:00,1.47,1.47,1.48,1.47,310558,0.0
2025-11-07 15:39:00,1.47,1.47,1.48,1.47,373313,0.0
2025-11-07 15:38:00,1.47,1.47,1.48,1.47,11990,0.0
2025-11-07 15:37:00,1.47,1.47,1.48,1.47,27026725,0.0
2025-11-07 15:36:00,1.47,1.47,1.48,1.47,9127,0.0
2025-11-07 15:35:00,1.48,1.47,1.48,1.47,26738250,0.0
2025-11-07 15:34:00,1.47,1.47,1.47,1.47,299644,0.0
2025-11-07 15:33:00,1.47,1.47,1.48,1.47,119982,0.0
2025-11-07 15:32:00,1.47,1.47,1.47,1.47,89921,0.0
2025-11-07 15:31:00,1.47,1.47,1.48,1.47,104843,0.0
2025-11-07 15:30:00,1.47,1.47,1.48,1.47,211168,0.0
2025-11-07 15:29:00,1.47,1.47,1.47,1.47,491255,0.6849315068493178
2025-11-07 15:28:00,1.46,1.46,1.46,1.46,80741,-0.6802721088435382
2025-11-07 15:27:00,1.46,1.46,1.47,1.47,147304,0.6849315068493178
2025-11-07 15:26:00,1.46,1.46,1.46,1.46,70939,0.0
2025-11-07 15:25:00,1.46,1.46,1.46,1.46,59679,0.0
2025-11-07 15:24:00,1.46,1.46,1.46,1.46,234376,0.0
2025-11-07 15:23:00,1.46,1.46,1.46,1.46,62120,0.0
2025-11-07 15:22:00,1.46,1.46,1.46,1.46,258155,0.0
2025-11-07 15:21:00,1.46,1.46,1.46,1.46,140618,0.0
2025-11-07 15:20:00,1.47,1.46,1.47,1.46,288647,0.0
2025-11-07 15:19:00,1.47,1.46,1.47,1.46,265240,-0.6802721088435382
2025-11-07 15:18:00,1.47,1.47,1.47,1.47,160250,0.0
2025-11-07 15:17:00,1.48,1.47,1.48,1.47,135823,0.0
2025-11-07 15:16:00,1.48,1.47,1.48,1.47,112518,0.0
2025-11-07 15:15:00,1.47,1.47,1.48,1.47,180872,0.0
2025-11-07 15:14:00,1.48,1.47,1.48,1.47,280938,-0.6756756756756799
2025-11-07 15:13:00,1.48,1.48,1.49,1.48,194916,0.0
2025-11-07 15:12:00,1.48,1.48,1.48,1.48,229432,0.0
2025-11-07 15:11:00,1.48,1.48,1.49,1.48,184718,0.0
2025-11-07 15:10:00,1.48,1.48,1.48,1.48,66404,0.0
2025-11-07 15:09:00,1.48,1.48,1.48,1.48,135155,0.0
2025-11-07 15:08:00,1.48,1.48,1.48,1.48,107035,0.0
2025-11-07 15:07:00,1.48,1.48,1.48,1.48,39755,0.0
2025-11-07 15:06:00,1.49,1.48,1.49,1.48,25520310,-0.6711409395973145
2025-11-07 15:05:00,1.49,1.49,1.49,1.49,117915,0.0
2025-11-07 15:04:00,1.49,1.49,1.5,1.49,120390,0.0
2025-11-07 15:03:00,1.49,1.48,1.49,1.49,384481,0.0
2025-11-07 15:02:00,1.49,1.49,1.5,1.49,105493,0.0
2025-11-07 15:01:00,1.49,1.49,1.5,1.49,824495,0.6756756756756799
2025-11-07 15:00:00,1.48,1.48,1.48,1.48,92808,0.0
2025-11-07 14:59:00,1.48,1.48,1.49,1.48,169987,0.0
2025-11-07 14:58:00,1.48,1.48,1.49,1.48,195398,0.0
2025-11-07 14:57:00,1.48,1.48,1.49,1.48,199862,-0.6711409395973145
2025-11-07 14:56:00,1.47,1.47,1.49,1.49,459187,0.6756756756756799
2025-11-07 14:55:00,1.48,1.47,1.48,1.48,280342,0.0
2025-11-07 14:54:00,1.48,1.48,1.49,1.48,248993,0.0
2025-11-07 14:53:00,1.48,1.48,1.48,1.48,45799,0.0
2025-11-07 14:52:00,1.48,1.48,1.48,1.48,210186,0.0
2025-11-07 14:51:00,1.48,1.48,1.48,1.48,342980,0.0
2025-11-07 14:50:00,1.48,1.48,1.49,1.48,239533,0.0
2025-11-07 14:49:00,1.48,1.48,1.49,1.48,147746,0.0
