date,open,low,high,close,volume,changeClosePercent
2025-06-11 15:59:00,472.61,472.58,472.9,472.9,435158,0.061361376187552
2025-06-11 15:58:00,472.6,472.5,472.72,472.61,137269,0.0
2025-06-11 15:57:00,472.83,472.59,473.0,472.61,97683,-0.046528350569963184
2025-06-11 15:56:00,472.88,472.7,472.9,472.83,90104,0.0021149697559286196
2025-06-11 15:55:00,472.77,472.74,472.85,472.82,156009,0.0931453490833567
2025-06-11 15:54:00,472.66,472.31,472.85,472.38,90273,-0.05501015572105805
2025-06-11 15:53:00,472.68,472.34,472.71,472.64,50771,-0.012693039983080467
2025-06-11 15:52:00,472.48,472.47,472.77,472.7,34685,0.046562817473749796
2025-06-11 15:51:00,472.69,472.32,472.69,472.48,30175,-0.046541146604606176
2025-06-11 15:50:00,472.39,472.18,472.85,472.7,72946,0.08681106947001638
2025-06-11 15:49:00,472.42,472.26,472.56,472.29,47156,-0.027517886626304833
2025-06-11 15:48:00,472.41,472.38,472.54,472.42,20633,0.0
2025-06-11 15:47:00,472.3,472.27,472.62,472.42,33293,0.014819519424147387
2025-06-11 15:46:00,472.22,472.08,472.35,472.35,39102,0.02329324072505301
2025-06-11 15:45:00,472.32,472.24,472.4,472.24,21391,-0.016937669376693165
2025-06-11 15:44:00,472.42,472.28,472.45,472.32,23366,-0.016934801016088574
2025-06-11 15:43:00,472.15,472.15,472.45,472.4,24527,0.05506841191171841
2025-06-11 15:42:00,472.37,472.12,472.42,472.14,25811,-0.04657464645609899
2025-06-11 15:41:00,472.36,472.3,472.45,472.36,16377,0.0
2025-06-11 15:40:00,472.31,472.31,472.44,472.36,16921,0.010586267493817303
2025-06-11 15:39:00,472.32,472.25,472.42,472.31,16788,-0.004234327694618845
2025-06-11 15:38:00,472.2,472.14,472.35,472.33,20337,0.025412422439163862
2025-06-11 15:37:00,472.06,472.04,472.26,472.21,20936,0.01906295009743708
2025-06-11 15:36:00,471.88,471.88,472.12,472.12,11938,0.05086038823429728
2025-06-11 15:35:00,471.76,471.7,471.9,471.88,17622,0.02331644657354026
