date,open,low,high,close,volume,changeClosePercent
2025-06-24 15:59:00,200.48,200.27,200.48,200.3,1643957,-0.08978451715880853
2025-06-24 15:58:00,200.56,200.44,200.56,200.48,381180,-0.03988831272437876
2025-06-24 15:57:00,200.46,200.46,200.64,200.56,417884,0.04988526389304582
2025-06-24 15:56:00,200.6,200.44,200.63,200.46,280521,-0.06979062811565129
2025-06-24 15:55:00,200.72,200.55,200.77,200.6,366655,-0.0647636128132345
2025-06-24 15:54:00,200.7,200.59,200.81,200.73,293340,0.014947683109123311
2025-06-24 15:53:00,200.52,200.52,200.79,200.7,254795,0.0847753453348643
2025-06-24 15:52:00,200.47,200.39,200.53,200.53,274497,0.024940143655238778
2025-06-24 15:51:00,200.72,200.38,200.78,200.48,459616,-0.11956954962136779
2025-06-24 15:50:00,200.71,200.67,200.85,200.72,276208,-0.004981816370241976
2025-06-24 15:49:00,200.84,200.71,200.85,200.73,154105,-0.054769966142209636
2025-06-24 15:48:00,200.87,200.81,200.9,200.84,144325,-0.009957184108344563
2025-06-24 15:47:00,200.81,200.78,200.89,200.86,160707,0.024899158408442368
2025-06-24 15:46:00,200.84,200.79,200.86,200.81,155359,-0.009958671513221606
2025-06-24 15:45:00,200.85,200.83,200.94,200.83,154460,-0.004979087831102902
2025-06-24 15:44:00,200.9,200.82,200.92,200.84,144920,-0.034841471305557814
2025-06-24 15:43:00,200.96,200.89,200.98,200.91,103283,-0.03980297527240717
2025-06-24 15:42:00,200.92,200.88,200.99,200.99,155158,0.03981882434922479
2025-06-24 15:41:00,200.99,200.9,201.01,200.91,92069,-0.034829336252362175
2025-06-24 15:40:00,201.05,200.92,201.05,200.98,207671,-0.03481720964935153
2025-06-24 15:39:00,201.14,201.02,201.18,201.05,190813,-0.04474495376353138
2025-06-24 15:38:00,201.23,201.11,201.23,201.14,124615,-0.04969191015703478
2025-06-24 15:37:00,201.37,201.22,201.38,201.24,126221,-0.06455777921239303
2025-06-24 15:36:00,201.31,201.3,201.38,201.37,79381,0.02980477869951592
2025-06-24 15:35:00,201.33,201.28,201.36,201.31,86798,-0.009933939303641282
2025-06-24 15:34:00,201.35,201.26,201.44,201.33,116297,-0.014898688915376823
