date,open,low,high,close,volume,changeClosePercent
2025-08-29 15:59:00,228.91,228.51,229.04,229.01,849874,0.04368529116245412
2025-08-29 15:58:00,228.76,228.69,228.92,228.91,313761,0.061196835249366366
2025-08-29 15:57:00,228.62,228.61,228.86,228.77,297371,0.0656110576502611
2025-08-29 15:56:00,228.56,228.56,228.65,228.62,193036,0.021875136719606836
2025-08-29 15:55:00,228.74,228.45,228.77,228.57,281801,-0.06995147116687361
2025-08-29 15:54:00,228.89,228.63,228.9,228.73,132688,-0.06990257328848282
2025-08-29 15:53:00,228.95,228.89,229.03,228.89,121508,-0.026206595326494497
2025-08-29 15:52:00,228.83,228.82,228.97,228.95,99121,0.052440676484710735
2025-08-29 15:51:00,228.82,228.78,228.86,228.83,104525,0.008740876709945056
2025-08-29 15:50:00,229.05,228.8,229.11,228.81,176100,-0.10478061558611973
2025-08-29 15:49:00,229.06,229.03,229.09,229.05,68268,-0.008730955603086787
2025-08-29 15:48:00,229.2,229.05,229.2,229.07,68419,-0.05235830533618646
2025-08-29 15:47:00,229.12,229.09,229.19,229.19,81367,0.034917725110195086
2025-08-29 15:46:00,229.04,229.04,229.14,229.11,52251,0.03056234718827877
2025-08-29 15:45:00,228.97,228.93,229.04,229.04,42844,0.030571690614489277
2025-08-29 15:44:00,228.96,228.95,229.0,228.97,51342,0.008735531775494465
2025-08-29 15:43:00,228.93,228.93,228.97,228.95,40046,0.00873629493731709
2025-08-29 15:42:00,228.88,228.85,228.96,228.93,57688,0.026215755669167784
2025-08-29 15:41:00,228.89,228.87,228.96,228.87,63064,-0.004369101712686785
2025-08-29 15:40:00,228.87,228.83,228.88,228.88,43210,0.008738967054089386
2025-08-29 15:39:00,228.8,228.8,228.9,228.86,63311,0.03934082266030536
2025-08-29 15:38:00,228.75,228.73,228.82,228.77,44920,0.0
2025-08-29 15:37:00,228.72,228.71,228.79,228.77,38442,0.01748786779172118
2025-08-29 15:36:00,228.78,228.73,228.81,228.73,35743,-0.017484810071255463
2025-08-29 15:35:00,228.89,228.76,228.89,228.77,50294,-0.06115940762744243
2025-08-29 15:34:00,228.94,228.91,228.97,228.91,28626,-0.01747106355098893
2025-08-29 15:33:00,228.98,228.92,228.99,228.95,28760,-0.013101580924101963
2025-08-29 15:32:00,228.98,228.96,229.04,228.98,30911,0.004367384373504812
2025-08-29 15:31:00,229.01,228.97,229.05,228.97,51566,-0.0218321543970057
2025-08-29 15:30:00,228.94,228.94,229.04,229.02,64865,0.03931332721793801
2025-08-29 15:29:00,228.89,228.87,228.94,228.93,22465,0.013106159895159841
2025-08-29 15:28:00,228.9,228.89,228.94,228.9,31510,0.004368910830532258
2025-08-29 15:27:00,228.92,228.86,228.92,228.89,35023,-0.021839783349353326
2025-08-29 15:26:00,228.94,228.93,228.99,228.94,21082,-0.0043677658877472325
2025-08-29 15:25:00,228.91,228.9,228.95,228.95,19075,0.017474116464977207
2025-08-29 15:24:00,228.89,228.88,228.93,228.91,45896,0.00436871996505328
2025-08-29 15:23:00,228.93,228.9,228.94,228.9,31908,-0.017471826679471558
2025-08-29 15:22:00,229.1,228.94,229.11,228.94,30067,-0.06983849847228552
2025-08-29 15:21:00,229.12,229.09,229.15,229.1,31722,-0.008729050279332462
2025-08-29 15:20:00,229.1,229.07,229.12,229.12,43152,0.013095290060682885
2025-08-29 15:19:00,229.05,229.04,229.09,229.09,25246,0.013097005151485597
2025-08-29 15:18:00,229.08,229.03,229.08,229.06,22877,-0.004365477801537843
2025-08-29 15:17:00,229.14,229.07,229.15,229.07,34757,-0.030549009339264632
2025-08-29 15:16:00,229.04,229.03,229.14,229.14,65253,0.04366049598323318
2025-08-29 15:15:00,228.96,228.96,229.06,229.04,28180,0.04367956669870665
2025-08-29 15:14:00,228.95,228.94,229.0,228.94,33502,-0.008735150244587597
2025-08-29 15:13:00,229.0,228.96,229.01,228.96,19612,-0.026198585276393516
2025-08-29 15:12:00,229.01,229.01,229.04,229.02,20285,0.00436662154492673
2025-08-29 15:11:00,229.07,229.01,229.1,229.01,42377,-0.021828341919150063
2025-08-29 15:10:00,229.01,228.99,229.08,229.06,40201,0.021833107724567036
2025-08-29 15:09:00,229.03,229.0,229.04,229.01,33506,-0.013098148794965514
2025-08-29 15:08:00,228.91,228.91,229.04,229.04,53961,0.05242005940939709
2025-08-29 15:07:00,228.93,228.92,228.96,228.92,29164,-0.013103297663241698
2025-08-29 15:06:00,228.9,228.85,228.96,228.95,27400,0.00873629493731709
2025-08-29 15:05:00,228.89,228.88,228.95,228.93,43741,0.01747564332212903
2025-08-29 15:04:00,228.9,228.88,228.93,228.89,49031,0.004369101712686785
2025-08-29 15:03:00,228.87,228.87,228.92,228.88,26263,0.004369292611516862
2025-08-29 15:02:00,228.9,228.85,228.9,228.87,20596,-0.01747411646498831
2025-08-29 15:01:00,228.85,228.85,228.95,228.91,32370,0.021847417635223465
2025-08-29 15:00:00,228.86,228.85,228.9,228.86,36149,-0.004369292611516862
2025-08-29 14:59:00,228.87,228.84,228.9,228.87,28805,0.004369483527044693
2025-08-29 14:58:00,228.86,228.81,228.87,228.86,24745,0.0
2025-08-29 14:57:00,228.83,228.8,228.86,228.86,33333,0.04371393600279827
