date,open,low,high,close,volume,changeClosePercent
2025-09-10 15:59:00,652.44,652.17,652.57,652.24,1495830,-0.029121898134654156
2025-09-10 15:58:00,652.58,652.43,652.6,652.43,770296,-0.022985687578547243
2025-09-10 15:57:00,652.57,652.55,652.7,652.58,770598,0.0030648522741261175
2025-09-10 15:56:00,652.45,652.42,652.57,652.56,541770,0.01685952946584024
2025-09-10 15:55:00,652.21,652.21,652.49,652.45,567730,0.03833180006134196
2025-09-10 15:54:00,652.31,652.12,652.39,652.2,520874,-0.016863147889789598
2025-09-10 15:53:00,652.2,652.19,652.32,652.31,288850,0.016865992026970922
2025-09-10 15:52:00,652.11,652.02,652.21,652.2,347230,0.013801352532549771
2025-09-10 15:51:00,652.11,652.08,652.3,652.11,403297,0.0
2025-09-10 15:50:00,651.86,651.86,652.32,652.11,819821,0.03835179332984939
2025-09-10 15:49:00,651.82,651.8,651.93,651.86,279288,0.006136663496048023
2025-09-10 15:48:00,651.83,651.8,651.97,651.82,380848,-0.0015341423377224217
2025-09-10 15:47:00,651.69,651.61,651.87,651.83,322495,0.023017431868410654
2025-09-10 15:46:00,651.81,651.67,651.84,651.68,185205,-0.019944462343324254
2025-09-10 15:45:00,651.83,651.65,651.86,651.81,312206,-0.004602356406491204
2025-09-10 15:44:00,651.59,651.52,651.84,651.84,215500,0.03836768520082412
2025-09-10 15:43:00,651.2,651.2,651.59,651.59,247554,0.05988943488943743
2025-09-10 15:42:00,651.14,651.09,651.22,651.2,169844,0.010750541366544297
2025-09-10 15:41:00,650.89,650.89,651.2,651.13,218333,0.03687258983853248
2025-09-10 15:40:00,650.83,650.7,650.91,650.89,186460,0.010755662087813533
2025-09-10 15:39:00,651.06,650.81,651.07,650.82,157270,-0.03686296193897709
2025-09-10 15:38:00,651.03,650.96,651.12,651.06,148213,0.004608082576829098
2025-09-10 15:37:00,651.15,651.03,651.26,651.03,117347,-0.016893448413557444
2025-09-10 15:36:00,651.45,651.12,651.45,651.14,257815,-0.04605182365222671
2025-09-10 15:35:00,651.26,651.25,651.49,651.44,156364,0.029174664107500803
2025-09-10 15:34:00,651.41,651.22,651.47,651.25,221044,-0.0260968346074697
2025-09-10 15:33:00,651.31,651.3,651.47,651.42,234120,0.019960386310247102
2025-09-10 15:32:00,651.09,651.07,651.32,651.29,204352,0.029181385347865074
2025-09-10 15:31:00,651.03,650.96,651.13,651.1,185052,0.012288408958260888
2025-09-10 15:30:00,650.86,650.84,651.04,651.02,181213,0.026119689636616705
2025-09-10 15:29:00,650.85,650.82,650.98,650.85,158278,-0.0015364287250685393
2025-09-10 15:28:00,650.8,650.76,650.89,650.86,140553,0.012292940778757533
2025-09-10 15:27:00,650.91,650.77,650.91,650.78,294572,-0.018436011676137287
2025-09-10 15:26:00,650.98,650.83,651.0,650.9,130042,-0.01382509715971425
